Название,Полная цена,Цена со скидкой,Описание,Состав,Размер,Ссылки на фотографии
Новогодняя композиция из Нобилиса со свечей в коробке,1690,1690,Новогодняя композиция из датской Ели - Нобилис ; с добавлением Кипарисовика в шляпной коробке ; оформлена натуральной корицей ; грецкими орехами и праздничным декором,СвечаКорицаНобилисНовогодний декорКипарисовикКоробка шляпнаяГубка флористическаяГрецкий орехЗвезды кокосовые,Высота-36см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/36/1669928817_13393336.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/90/1669928818_15941490.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/49/1669928818_83409049.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/10/1669928818_84444510.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/76/1669928818_38111976.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1669928818_75744395.jpg
Красная Хризантема и Ромашка,3290,3290,Красная кустовая Хризантема с кустовой Ромашкой в стильной упаковке,Хризантема кустовая - 13 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/42/1659593995_26747742.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/08/1659593995_1592908.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/64/1659593995_38711764.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/10/1659593995_16536910.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1659593995_42460333.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/29/1659593995_27230829.jpg
"Букет Авторский Хризантема, Ромашка и Озотамнус",2590,2590,Белоснежная Хризантема; Ромашки и нежный Озотамнус в стильной упаковке,Хризантема кустовая - 6 шт; Озотамнус - 3 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/84/1665660372_74967884.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/32/1665660372_1677032.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1665660372_41771895.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/96/1665660373_25315596.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/58/1665660373_37612758.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/74/1665660373_31473674.jpg
"Авторский букет Брассика, Гортензия и пионовидные Розы",2990,2990,Авторский букет с ажурной Брассикой; яркой оранжевой кустовой Розой; одноголовыми пионовидными Розами; Гортензией и махровой Эустомой в стильной упаковке,Брассика - 3 шт; Гортензия - 1 шт; Роза одноголовая пионовидная - 3 шт; Эустома - 2 шт; Гвоздика кустовая - 3 шт; Колосья - 3 шт; Листья Дуба - 2 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; Роза кустовая - 1 шт; ,Высота-45см; Ширина-36см,https://content2.flowwow-images.com/data/flowers/1000x1000/00/1668579955_61115800.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/18/1668579955_5872418.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/17/1668579955_24548717.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1668579955_16019406.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/30/1668579955_8418030.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/46/1668579955_58422746.jpg
7 ароматных садовых пионовидных Роз Пинк Охара с Эвкалиптом,2390,2390,Моно букет из 7 розовых ароматных одноголовых Пионовидных Роз сорта Пинк Охара с веточками душистого Эвкалипта в стильной упаковке,pink o'hara роза - 7 шт; Эвкалипт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/95/1668338512_37041095.jpg; https://content2.flowwow-images.com/data/incoming/c88191b5a0060972588f2973eb7e34aaa5946137/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/41/1668338512_28736541.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/00/1668338512_47927200.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/84/1668338512_16770684.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/58/1668338512_70927058.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/11/1668338512_31249211.jpg
Авторский букет на 1 сентября с пионовидной Розой и Хризантемой,2590,2590,Осенний букет с красной Хризантемой и пионовидными Розами ; Озотамнусом и Альстромерией в стильной упаковке,Роза одноголовая пионовидная - 5 шт; Хризантема кустовая - 3 шт; Альстромерия - 3 шт; Озотамнус - 2 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/65/1661363626_12823565.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/88/1661363626_96362488.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/85/1661363626_92372285.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/62/1661363626_22320762.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/07/1661363626_42528807.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1661363626_29451233.jpg
25 пионовидных Роз Сильва Пинк,8900,8900,Букет из розовых пионовидных Роз Сильва Пинк в дизайнерской упаковке,Роза пионовидная кустовая - 25 шт; бумага дизайнерская - 8 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-43см,https://content2.flowwow-images.com/data/flowers/1000x1000/38/1664791615_49218738.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1664791615_67204994.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/18/1664791615_42627518.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1664791615_53891622.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/35/1664791615_8517735.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/49/1664791615_23484449.jpg
Белоснежная Хризантема и лавандовая Роза,2990,2841,Белая кустовая Хризантема с сиреневыми одноголовыми Розами в стильной упаковке,Хризантема кустовая - 5 шт; Роза одноголовая - 11 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/50/1659593132_75090250.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/61/1659593132_20923261.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/43/1659593132_51250343.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1659593132_23707806.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/30/1659593132_14462630.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1659593132_66181733.jpg
Корзина с радужной Хризантемой,7500,7500,Большая плетёная корзина с радужной Хризантемой,Хризантема кустовая - 15 шт; Корзина плетеная - 1 шт; Губка флористическая - 2 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/46/1665955359_61234646.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/72/1665955359_4762472.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/64/1665955359_14948164.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1665955359_92225822.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/85/1665955359_94884785.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/20/1665955359_13961120.jpg
Пионовидная Роза Бомбастик 7 шт,2690,2502,7 кустовых пионовидных Роз Бомбастик в стильной упаковке .,Кустовая пионовидная роза Бомбастик - 7 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/74/1658391085_81776074.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/82/1658391085_65399982.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/62/1658391085_49279062.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1658391085_85606133.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1658391085_86823394.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/15/1658391085_49519515.jpg
"Авторский букет с пионовидными Розами, Хризантемой и ягодами Калины",3190,3190,Фактурный осенний букет с пионовидными Розами Вайлд Лук; бордовой кустовой Хризантемой и ягодами Вибурнума (калины) в дизайнерской упаковке.,Роза пионовидная - 6 шт; Хризантема кустовая - 4 шт; Ягоды вибурнум - 1 шт; Озотамнус - 1 шт; Гвоздика кустовая - 2 шт; Эвкалипт - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/94/1663167895_14537094.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1663167895_76715223.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/35/1663167895_85182135.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/47/1663167895_30649247.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/86/1663167895_57453786.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/70/1663167895_7497470.jpg
5 желтых Хризантем,2490,2490,Букет из 5 ярких желтых Хризантем с добавлением воздушных колосков в стильной упаковке,Хризантема одноголовая - 5 шт; Колоски - 8 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/36/1665481413_15433336.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/55/1665481413_76697355.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/79/1665481413_72533279.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1665481413_86229160.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1665481414_44263833.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1665481414_53006113.jpg
Авторский букет с Гортензией и пионовидной розой Гравити,2590,2590,Фиолетовая Гортензия ; пионовидные Розы ; пышная Альстромерия и Эвкалиптом в стильной упаковке,Гортензия - 1 шт; роза одноголовая гравити - 3 шт; Альстромерия - 4 шт; Гвоздика кустовая - 2 шт; Озотамнус - 2 шт; Эвкалипт - 5 шт; бумага дизайнерская - 6 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-35см,https://content3.flowwow-images.com/data/flowers/1000x1000/62/1655479911_3858562.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/35/1655479911_13728635.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/47/1655479911_75136447.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1655479911_97555142.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/55/1655479911_77642455.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1655479912_21679397.jpg
"Букет Авторский с голубой Гортензией, розой Вайт Охара и Хлопком",2890,2890,Ароматное сочетание пионовидных Роз Охара с Маттиолой; дополненное Гортензией; ажурным Папоротником и мягким пушистым Хлопком в стильной дизайнерской упаковке.,Гортензия - 1 шт; white o'hara роза - 1 шт; Роза одноголовая пионовидная - 3 шт; Маттиола - 3 шт; Эустома - 2 шт; Хлопок - 3 шт; папоротник стабилизированный - 2 шт; Эвкалипт - 5 шт; бумага дизайнерской - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-34см,https://content2.flowwow-images.com/data/flowers/1000x1000/38/1667766973_20120438.jpg; https://content2.flowwow-images.com/data/incoming/e814744ad29ad62462e7c5443b62778541159151/original.mp4; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1667766974_23791360.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/49/1667766974_9497749.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/88/1667766974_15762488.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/52/1667766974_43873152.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/28/1667766974_8477228.jpg
Персиковая Хризантема и Ромашка,3290,3290,Персиковая Хризантема с кустовой Ромашкой в стильной упаковке,Хризантема кустовая - 7 шт; Хризантема Сантини - 6 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/71/1659593563_83528671.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/28/1659593563_60830328.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1659593563_47013533.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1659593563_74027054.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1659593563_90835254.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/92/1659593563_34477592.jpg
Подарочный набор «Мамочке» с шоколадными конфетами и лавандовыми Розами,4990,4990,Нежный набор из шоколадных конфет ручной работы в виде Сердца и букета лавандовых Роз с ароматным Эвкалиптом,Роза одноголовая - 25 шт; Эвкалипт - 7 шт; конфета шоколадная «сердце» - 4 шт; медиант шоколадный «маме» - 1 шт; топпер «мамочке» - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/12/1669460788_75697012.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/73/1669460789_90348873.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/32/1669464008_26412032.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/21/1669460789_84858121.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/73/1669464008_56314173.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/30/1669460789_97926330.jpg
Пионовидные кустовые Розы 7 шт,2590,2590,Микс из кустовых пионовидных Роз в стильной упаковке,Кустовая пионовидная роза - 7 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content3.flowwow-images.com/data/flowers/1000x1000/63/1659369372_1701063.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/49/1659369372_5464549.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/08/1659369372_88666308.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/03/1659369372_29020003.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/29/1659369372_34325829.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/29/1659369372_23076529.jpg
Авторский букет пионовидная Роза и Маттиола,1990,1990,Авторский букет из ароматной Маттиолы; белых пионовидных Роз и сиреневой Альстромерии в стильной упаковке,Роза одноголовая пионовидная - 6 шт; Маттиола - 6 шт; Альстромерия - 5 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/87/1668371233_63842487.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1668371233_43851183.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/97/1668371233_97444997.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/43/1668371233_77729943.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/04/1668371233_80871004.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/44/1668371233_1339644.jpg
Розовая Гортензия с пионовидными Розами,1790,1790,Авторский букет с розовой Гортензией ; белыми пионовидными Розами ; Эвкалиптом и копьем пальмы в стильной упаковке,Гортензия - 1 шт; Роза одноголовая пионовидная - 7 шт; Эвкалипт - 2 шт; копье пальмы - 1 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/40/1662053687_59511840.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1662053688_15905242.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/61/1662053688_70163361.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/77/1662053688_38595577.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/03/1662053689_9207203.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/16/1662053689_35237416.jpg
Подарочный набор «Мамочке» с шоколадными конфетами и Пионовидными Розами,4990,4990,Нежный набор из шоколадных конфет ручной работы в виде Сердца и букета пионовидных кустовых Роз,Роза кустовая пионовидная - 7 шт; Эвкалипт - 5 шт; конфета шоколадная «сердце» - 4 шт; медиант шоколадный «маме» - 1 шт; топпер «мамочке» - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/66/1669459754_54346966.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/82/1669459754_71226182.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/94/1669459754_49617494.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/02/1669459754_17629102.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/47/1669459754_6043547.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1669459754_52461606.jpg
Цветы в коробке,5900,5900,Белоснежная коробка с ароматной Маттиолой ; белыми пионовидными Розами ; Эустомой ;  кустовыми Гвоздиками и веточками Эвкалипта.,Гортензия - 2 шт; Маттиола - 5 шт; Эустома - 2 шт; Гвоздика кустовая - 3 шт; Роза одноголовая пионовидная - 7 шт; Эвкалипт - 5 шт; Ковыль - 2 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-45см,https://content2.flowwow-images.com/data/flowers/1000x1000/38/1665427613_84878938.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/39/1665427613_59998339.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/15/1665427613_93759715.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1665427613_48499706.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/87/1665427613_72508087.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/57/1665427613_44739657.jpg
25 пионовидных кустовых Роз Бомбастик,5990,5990,25 нежных пионовидных кустовых Роз в стильной упаковке.,Роза кустовая пионовидная - 25 шт; бумага дизайнерская - 8 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-37см,https://content2.flowwow-images.com/data/flowers/1000x1000/33/1665820450_26511833.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/78/1665820450_42973578.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/51/1665820450_5652951.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1665820450_36287522.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1665820450_11986683.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/06/1665820450_95455306.jpg
Ароматный Эвкалипт,1800,1800,Свежий ароматный Эвкалипт в крафтовой стильной упаковке.,Эвкалипт - 11 шт; бумага дизайнерская - 1 шт; Крафт упаковка - 1 шт; ,Высота-50см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/66/1667820765_65940766.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/51/1667820765_52561151.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/41/1667820765_57947641.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1667820765_69888260.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/93/1667820765_59882893.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/55/1667820765_71037755.jpg
25 белых пионовидных Роз,2990,2990,25 белых пионовидных Роз в стильной упаковке.,Роза одноголовая пионовидная - 25 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Высота-40см; Ширина-28см,https://content2.flowwow-images.com/data/flowers/1000x1000/11/1665823134_97625311.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/69/1665823134_98443669.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/10/1665823134_78663010.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/05/1665823134_6930105.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/43/1665823135_37383443.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/56/1665823135_80607256.jpg
Пионовидные Розы в шляпной коробке,2590,2590,Кустовые пионовидные Розы Бомбастик с Эвкалиптом в шляпной коробке,Роза кустовая пионовидная - 5 шт; Эвкалипт - 6 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/94/1647761167_16155094.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/19/1647761167_96928119.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/33/1647761167_60809033.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/51/1647761167_60498651.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/38/1647761167_74957638.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/68/1647761167_28866568.jpg
Букет Авторский,3450,3450,Авторский букет с Озотамнусом; Диантосами и пионовидными розами Бомбастик в стильной упаковке,Роза пионовидная - 3 шт; Роза кустовая - 2 шт; Диантус - 3 шт; Эустома - 3 шт; Маттиола - 2 шт; Озотамнус - 2 шт; Эвкалипт - 5 шт; Фисташка - 8 шт; бумага дизайнерская - 4 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-30см,https://content2.flowwow-images.com/data/flowers/1000x1000/89/1648485230_44633689.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/59/1648485230_55834659.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/54/1648485230_20328954.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/89/1648485230_45001189.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/24/1648485230_10940724.jpg
"Пионовидные розы, Эустома и Озотамнус в шляпной коробке",2900,2900,Прекрасная пионовидная роза Мисти Баблз; Гвоздика; Эустома; воздушный Озотамнус и Эвкалипт в шляпной коробке,Роза кустовая пионовидная - 3 шт; Гвоздика кустовая - 1 шт; Озотамнус - 1 шт; Эустома - 2 шт; Эвкалипт - 3 шт; Коробка шляпная - 1 шт; Губка флористическая - 1 шт; ,Высота-30см; Ширина-26см,https://content3.flowwow-images.com/data/flowers/1000x1000/01/1662642824_4831101.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/28/1650902602_58511928.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/46/1650902602_13780346.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/65/1650902602_25319265.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/83/1650902602_59327583.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/81/1650902602_28787581.jpg
Гипсофила в щляпной коробке,1690,1690,Яркая розовая гипсофила в шляпной коробке,Гипсофила крашеная - 4 шт; Флористическая губка - 1 шт; Коробка шляпная - 1 шт; ,Высота-30см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/03/1646348274_54509003.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/86/1646348274_40536886.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/24/1646348274_10662524.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1646348274_51838460.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/42/1646348274_43012042.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/08/1646348274_25450708.jpg
Белая Хризантема и голубая Гортензия,1790,1790,Голубая Гортензия и белоснежная кустовая Хризантема в стильной упаковке,Гортензия - 1 шт; Хризантема кустовая - 3 шт; бумага дизайнерская - 5 шт; Лента атласная - 1 шт; ,Нет данных на сайте,https://content2.flowwow-images.com/data/flowers/1000x1000/33/1662063901_74588233.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/30/1662063901_82421330.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/41/1662063901_50727241.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/32/1662063902_17690132.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/00/1662063902_96659400.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/13/1662063903_20982513.jpg
Авторский букет Орхидея и красная Роза,3490,3490,Авторский букет с Орхидеей Цимбидиум ; красными Розами ; Озотамнусом ; Альстромерией и душистым Эвкалиптом,орхидея - 3 шт; Роза одноголовая - 15 шт; Эустома - 2 шт; Альстромерия - 2 шт; Гвоздика кустовая - 3 шт; Озотамнус - 3 шт; Эвкалипт - 5 шт; ,Высота-40см; Ширина-35см,https://content3.flowwow-images.com/data/flowers/1000x1000/57/1666008795_3514957.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/66/1666008795_47244466.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/68/1666008795_13259168.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/38/1666008795_73462438.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/95/1666008795_41418895.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/22/1666008795_67913622.jpg
"Авторский букет с садовыми Розами, Гортензией и Маттиолой",11990,11990,Букет из изысканных садовых пионовидных Роз; Гортензии; кустовых пионовидных Роз и ароматной Маттиолы; украшенный атласной лентой.,Гортензия - 7 шт; Роза кустовая пионовидная - 6 шт; Роза садовая - 12 шт; Маттиола - 12 шт; Эвкалипт - 20 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-50см,https://content3.flowwow-images.com/data/flowers/1000x1000/40/1665666758_6411640.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/26/1665666758_11408826.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/58/1665666758_78250858.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/91/1665666758_7329591.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/16/1665666758_50174316.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/43/1665666758_70312143.jpg
11 пионовидных Роз,1890,1890,11 пионовидных Роз с Эвкалиптом в стильной упаковке,Роза пионовидная - 11 шт; Эвкалипт - 6 шт; бумага дизайнерская - 1 шт; Лента атласная - 1 шт; ,Высота-45см; Ширина-26см,https://content2.flowwow-images.com/data/flowers/1000x1000/51/1647757269_20639151.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/23/1647757269_63840023.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/24/1647757269_57315624.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/37/1647757269_1532137.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/00/1647757269_43528700.jpg; https://content3.flowwow-images.com/data/flowers/1000x1000/59/1647757269_9898459.jpg
"Корзина Пионовидные розы, Гортензия, Маттиола",6990,6990,Изысканная; невероятно ароматная корзина с садовыми пионовидными Розами Вайт О'Хара и Маттиолой; воздушной Гортензией; кустовыми пионовидными Розами и Эустомой.,роза садовая вайт о'хара - 7 шт; Роза кустовая пионовидная - 3 шт; Гортензия - 2 шт; Маттиола - 5 шт; Эустома - 2 шт; Гвоздика - 4 шт; Рускус - 1 шт; Озотамнус - 2 шт; Эвкалипт - 5 шт; Корзина плетеная - 1 шт; Губка флористическая - 1 шт; ,Высота-45см; Ширина-55см,https://content2.flowwow-images.com/data/flowers/1000x1000/58/1666388001_43244858.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/57/1666388001_25684257.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/18/1666388001_36587318.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/37/1666388001_25022437.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/60/1666388001_79568460.jpg; https://content2.flowwow-images.com/data/flowers/1000x1000/05/1666388001_75327905.jpg
